id,population,longitude,latitude,pop
punc_BM288,Amazonian_Forest,-51.8448,-3.3228,Eam
punc_GN71,Amazonian_Forest,-54.6064,-9.7307,Eam
punc_H1907,Amazonian_Forest,-64.8247,-9.4459,Wam
punc_H1911,Amazonian_Forest,-64.8203,-9.4358,Wam
punc_H2546,Amazonian_Forest,-65.3576,-9.5979,Wam
punc_IBSPCRIB0361,Atlantic_Forest,-46.0247,-23.7564,AF
punc_ICST764,Atlantic_Forest,-36.2838,-9.8092,AF
punc_JFT459,Atlantic_Forest,-40.5219,-20.2811,AF
punc_JFT773,Atlantic_Forest,-40.52,-19.96,AF
punc_LG1299,Atlantic_Forest,-39.0694,-15.2696,AF
punc_LSUMZH12577,Amazonian_Forest,-75.8069,-0.2172,Wam
punc_LSUMZH12751,Amazonian_Forest,-75.8069,-0.2172,Wam
punc_LSUMZH13910,Amazonian_Forest,-72.7677,-8.2509,Eam
punc_LSUMZH14100,Amazonian_Forest,-65.7161,-8.3464,Wam
punc_LSUMZH14336,Amazonian_Forest,-54.8416,-3.1354,Eam
punc_LSUMZH15476,Amazonian_Forest,-64.55,-10.3167,Wam
punc_MPEG20846,Amazonian_Forest,-56.1842,-2.6096,Eam
punc_MPEG21348,Amazonian_Forest,-64.3915,-11.6996,Wam
punc_MPEG22415,Amazonian_Forest,-48.2948,-1.2169,Eam
punc_MPEG24758,Amazonian_Forest,-56.3706,-1.7731,Eam
punc_MPEG26102,Amazonian_Forest,-51.6418,-1.9969,Eam
punc_MPEG28489,Amazonian_Forest,-56.2256,-2.5475,Eam
punc_MPEG29314,Amazonian_Forest,-59.0495,-2.9096,Eam
punc_MPEG29943,Amazonian_Forest,-55.6771,-4.1144,Eam
punc_MTR05978,Atlantic_Forest,-39.5233,-15.1547,AF
punc_MTR12338,Atlantic_Forest,-40.0804,-19.4483,AF
punc_MTR12511,Atlantic_Forest,-39.8942,-19.0564,AF
punc_MTR15267,Atlantic_Forest,-42.6216,-22.4354,AF
punc_MTR17744,Atlantic_Forest,-42.5333,-19.6411,AF
punc_MTR18550,Amazonian_Forest,-61.8135,-4.3074,Wam
punc_MTR20798,Amazonian_Forest,-61.1451,4.4621,Eam
punc_MTR21474,Amazonian_Forest,-59.9494,-2.9979,Eam
punc_MTR21545,Atlantic_Forest,-40.1473,-19.0556,AF
punc_MTR25584,Amazonian_Forest,-63.6281,-10.7868,Wam
punc_MTR28048,Amazonian_Forest,-73.6575,-7.4424,Eam
punc_MTR28401,Amazonian_Forest,-73.7214,-7.5016,Eam
punc_MTR28593,Amazonian_Forest,-67.6063,-10.0679,Eam
punc_MTR34227,Atlantic_Forest,-39.6611,-15.8958,AF
punc_MTR34414,Atlantic_Forest,-39.07,-16.442,AF
punc_MTR976723,Amazonian_Forest,-53.2564,-13.1833,Eam
punc_MTR978312,Amazonian_Forest,-51.2,-9.9,Eam
punc_MTRX1468,Atlantic_Forest,-41.7192,-20.9031,AF
punc_MTRX1478,Atlantic_Forest,-43.2547,-22.9712,AF
punc_MUFAL9635,Atlantic_Forest,-35.7099,-9.5073,AF
punc_PJD409,Amazonian_Forest,-57.3956,-5.8174,Wam
punc_UNIBAN1670,Amazonian_Forest,-63.2375,-10.2987,Wam
